No,DAEGU,name,stattion,address,addresss,경도,위도,상태
1,대구도시철도공사,1호선,각산,대구광역시 동구 신서동 627-15,대구광역시 동구 안심로 지하363(신서동),128.724165789138,35.86800172869,정좌표
2,대구도시철도공사,1호선,교대,대구광역시 남구 대명동 1982-11,대구광역시 남구 중앙대로 지하194(대명동),128.590595857319,35.8500954739666,정좌표
3,대구도시철도공사,1호선,대곡(정부대구청사),대구광역시 달서구 대곡동 946,대구광역시 달서구 비슬로 지하2718(대곡동),128.51248597615,35.8094384343207,정좌표
5,대구도시철도공사,1호선,대명,대구광역시 남구 대명동 1291,대구광역시 남구 대명로 지하71(대명동),128.565379065029,35.8393158253908,정좌표
4,대구도시철도공사,1호선,대구역,대구광역시 북구 칠성동2가 302-305,대구광역시 북구 칠성남30길 지하24(칠성동),128.597281508465,35.8760149750114,정좌표
6,대구도시철도공사,1호선,동대구역,대구광역시 동구 신천동 329-5,대구광역시 동구 동대구로 지하530(신천동),128.62732569703,35.8774298369864,정좌표
7,대구도시철도공사,1호선,동촌,대구광역시 동구 검사동 1104,대구광역시 동구 해동로 지하197(검사동),128.650458664955,35.8859635045309,정좌표
8,대구도시철도공사,1호선,명덕(2.28민주운동기념회관),대구광역시 중구 남산동 2321,대구광역시 중구 명덕로 지하185(남산동),128.591150564489,35.8579520810046,정좌표
9,대구도시철도공사,1호선,반야월,대구광역시 동구 동호동 207-11,대구광역시 동구 안심로 지하261(동호동),128.713206320077,35.8662106466964,정좌표
10,대구도시철도공사,1호선,반월당,대구광역시 중구 덕산동 88,대구광역시 중구 달구벌대로 지하2100(덕산동),128.59349419814,35.865503903657,정좌표
11,대구도시철도공사,1호선,방촌,대구광역시 동구 방촌동 857-19,대구광역시 동구 동촌로 지하275(방촌동),128.67012030399,35.8796373113162,정좌표
12,대구도시철도공사,1호선,상인,대구광역시 달서구 상인동 204-4,대구광역시 달서수 월배로 지하223(상인동),128.537973125663,35.819024366123,정좌표
13,대구도시철도공사,1호선,설화명곡,대구광역시 달성군 화원읍 설화리 562-1,대구광역시 달성군 화원읍 비슬로 2476,128.489259848601,35.7986731024056,정좌표
14,대구도시철도공사,1호선,성당못,대구광역시 남구 대명동 1576-21,대구광역시 남구 월배로 지하501(대명동),128.557027705626,35.8371266375185,정좌표
15,대구도시철도공사,1호선,송현,대구광역시 달서구 송현동 950,대구광역시 달서구 월배로 지하412(송현동),128.551746749243,35.8310681653437,정좌표
16,대구도시철도공사,1호선,신기,대구광역시 동구 신기동 227,대구광역시 동구 안심로 지하159(신기동),128.702475617113,35.8667005314399,정좌표
17,대구도시철도공사,1호선,신천(경북대입구),대구광역시 동구 신천동 741,대구광역시 동구 동부로 지하41(신천동),128.617650362004,35.8746341872264,정좌표
18,대구도시철도공사,1호선,아양교,대구광역시 동구 신암동 1575,대구광역시 동구 아양로 지하245(신암동),128.639645745542,35.8871190737494,정좌표
19,대구도시철도공사,1호선,안심(혁신도시·첨복단지),대구광역시 동구 괴정동 536-1,대구광역시 동구 안심로 지하455(괴전동),128.733772441163,35.87127973877,정좌표
20,대구도시철도공사,1호선,안지랑,대구광역시 남구 대명동 1291,대구광역시 남구 대명로 지하141(대명동),128.573174760858,35.8392656591215,정좌표
21,대구도시철도공사,1호선,영대병원,대구광역시 남구 대명동 224,대구광역시 남구 대명로 지하292(대명동),128.587620274461,35.8439534815253,정좌표
22,대구도시철도공사,1호선,용계,대구광역시 동구 용계동 405-4,대구광역시 동구 동촌로 지하383(용계동),128.681643480929,35.8762450989733,정좌표
23,대구도시철도공사,1호선,월배,대구광역시 달서구 진천동 49-4,대구광역시 달서구 월배로 지하143(진천동),128.530326042667,35.8161411693657,정좌표
24,대구도시철도공사,1호선,월촌,대구광역시 달서구 송현동 2041,대구광역시 달서구 월배로 지하311(송현동),128.545490725898,35.823733283113,정좌표
25,대구도시철도공사,1호선,율하,대구광역시 동구 율하동 840-27,대구광역시 동구 안심로 지하57(율하동),128.692778958158,35.8697780101441,정좌표
26,대구도시철도공사,1호선,중앙로,대구광역시 중구 남일동 143-1,대구광역시 중구 중앙대로 지하424(남일동),128.594013633108,35.8709648955642,정좌표
27,대구도시철도공사,1호선,진천,대구광역시 달서구 진천동 608-4,대구광역시 달서구 월배로 지하76(진천동),128.523114595939,35.8138902254607,정좌표
28,대구도시철도공사,1호선,칠성시장,대구광역시 북구 칠성동1가 278-1,대구광역시 북구 칠성남로 지하222(칠성동),128.605169019586,35.8761267190267,정좌표
29,대구도시철도공사,1호선,큰고개,대구광역시 동구 신암동 369,대구광역시 동구 신암남로 지하169(신암동),128.63208347617,35.8842380008447,정좌표
30,대구도시철도공사,1호선,해안,대구광역시 동구 방촌동 1139-1,대구광역시 동구 동촌로 지하167(방촌동),128.659918597267,35.8835035902357,정좌표
31,대구도시철도공사,1호선,현충로,대구광역시 북구 칠성동1가 278-1,대구광역시 남구 대명로 지하222(대명동),128.581921449959,35.8411728371636,정좌표
32,대구도시철도공사,1호선,화원,대구 달성군 화원읍 천내리 896-1,대구광역시 달성군 화원읍 비슬로 지하 2600,128.500678439045,35.8044343665306,정좌표
33,대구도시철도공사,2호선,감삼,대구광역시 달서구 감삼동 305,대구광역시 달서구 달구벌대로 지하1665(감삼동),128.547903843646,35.8542349475278,정좌표
34,대구도시철도공사,2호선,강창,대구광역시 달서구 호산동 102-2,대구광역시 달서구 달구벌대로 지하1014(호산동),128.478343309908,35.8530780531265,정좌표
35,대구도시철도공사,2호선,경대병원,대구광역시 중구 삼덕동2가 327 ,대구광역시 중구 달구벌대로 지하2190 (삼덕동2가),128.60280065122,35.8632009860673,정좌표
36,대구도시철도공사,2호선,계명대,대구광역시 달서구 신당동 1034-4,대구광역시 달서구 달구벌대로 지하1140(신당동),128.491978373527,35.8515035377273,정좌표
37,대구도시철도공사,2호선,고산,대구광역시 수성구 시지동 250-1,대구광역시 수성구 달구벌대로 지하3080(시지동),128.693854120189,35.8428705449356,정좌표
38,대구도시철도공사,2호선,내당,대구광역시 서구 내당동 1290,대구광역시 서구 달구벌대로 지하1827 (내당동)  ,128.564743024951,35.8601769778478,정좌표
39,대구도시철도공사,2호선,다사,대구광역시 달성군 다사읍 매곡리 689-1,대구광역시 달성군 다사읍 다사역로 지하30,128.458544176168,35.8647293972832,정좌표
40,대구도시철도공사,2호선,담티(산대ㆍ대륜),대구광역시 수성구 만촌동 889,대구광역시 수성구 달구벌대로 지하2672(만촌동),128.653678883837,35.8548649890281,정좌표
41,대구도시철도공사,2호선,대공원,대구광역시 수성구 연호동 154-5,대구광역시 수성구 달구벌대로 지하2950(연호동),128.679992604991,35.8425983448099,정좌표
42,대구도시철도공사,2호선,대구은행,대구광역시 수성구 수성동4가 1085-32,대구광역시 수성구 달구벌대로 지하2300(수성동),128.614223841075,35.8597361799476,정좌표
43,대구도시철도공사,2호선,대실,대구광역시 달성군 다사읍 죽곡리 242-2,대구광역시 달성군 다사읍 달구벌대로 지하888,128.465658712824,35.8572772516458,정좌표
44,대구도시철도공사,2호선,두류,대구광역시 달서구 두류동 1290-1,대구광역시 달서구 달구벌대로 지하1760(두류동),128.556606559821,35.8575463669709,정좌표
45,대구도시철도공사,2호선,만촌,대구광역시 수성구 만촌동 1320,대구광역시 수성구 달구벌대로 지하2584(만촌동),128.645371568575,35.8588019749708,정좌표
46,대구도시철도공사,2호선,문양,대구광역시 달성군 다사읍 문양리 400,대구광역시 달성군 다사읍 문양역길 71,128.437091922851,35.8640793883324,정좌표
